Attack_Name,Claim_Path,Claim_Trace / Claim_Location,Matched_File,Fingerprint_Score,Fingerprint_Distance
transplant_trace,荟聚003-0413/20250413_1934,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",20250413_1934_merged.csv,0.518949,0.92697
transplant_trace,荟聚003-0413/20250413_1934,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",20250413_1934_merged.csv,0.518949,0.92697
transplant_trace,荟聚003-0413/20250413_1934,"[""e4"", ""e3"", ""d3"", ""d4"", ""e4""]",20250413_1934_merged.csv,0.518949,0.92697
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1915,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1915_merged.csv,0.478193,1.091207
transplant_trace,荟聚001-0413/20250413_1915,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1915_merged.csv,0.478193,1.091207
transplant_trace,荟聚001-0413/20250413_1917,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1917_merged.csv,0.483384,1.068747
transplant_trace,荟聚001-0413/20250413_1908,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1908_merged.csv,0.4708,1.124046
transplant_trace,荟聚001-0413/20250413_1913,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1913_merged.csv,0.491422,1.03491
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1910,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1910_merged.csv,0.484415,1.064347
transplant_trace,荟聚001-0413/20250413_1910,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1910_merged.csv,0.484415,1.064347
transplant_trace,荟聚001-0413/20250413_1915,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1915_merged.csv,0.478193,1.091207
transplant_trace,荟聚001-0413/20250413_1913,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1913_merged.csv,0.491422,1.03491
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1908,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1908_merged.csv,0.4708,1.124046
transplant_trace,荟聚001-0413/20250413_1915,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1915_merged.csv,0.478193,1.091207
transplant_trace,荟聚001-0413/20250413_1908,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1908_merged.csv,0.4708,1.124046
transplant_trace,荟聚001-0413/20250413_1913,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1913_merged.csv,0.491422,1.03491
transplant_trace,荟聚001-0413/20250413_1913,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1913_merged.csv,0.491422,1.03491
transplant_trace,荟聚001-0413/20250413_1913,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1913_merged.csv,0.491422,1.03491
transplant_trace,荟聚001-0413/20250413_1910,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1910_merged.csv,0.484415,1.064347
transplant_trace,荟聚001-0413/20250413_1908,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1908_merged.csv,0.4708,1.124046
transplant_trace,荟聚001-0413/20250413_1913,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1913_merged.csv,0.491422,1.03491
transplant_trace,荟聚001-0413/20250413_1915,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1915_merged.csv,0.478193,1.091207
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1915,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1915_merged.csv,0.478193,1.091207
transplant_trace,荟聚001-0413/20250413_1908,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1908_merged.csv,0.4708,1.124046
transplant_trace,荟聚001-0413/20250413_1917,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1917_merged.csv,0.483384,1.068747
transplant_trace,荟聚001-0413/20250413_1917,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1917_merged.csv,0.483384,1.068747
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1910,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1910_merged.csv,0.484415,1.064347
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1911,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1911_merged.csv,0.478665,1.089143
transplant_trace,荟聚001-0413/20250413_1908,"[""e4"", ""e3"", ""e4"", ""d4"", ""e4""]",20250413_1908_merged.csv,0.4708,1.124046
